Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53352e+07,2.53352e+07,10
5,1,3.87411e+07,3.87411e+07,10
6,1,4.8323e+07,4.8323e+07,10
28,6,1.49346e+08,1.49346e+08,10
14,28,1.64673e+08,1.64673e+08,60
26,5,2.07941e+08,2.07941e+08,10
8,6,2.3631e+08,2.3631e+08,80
4,14,2.98652e+08,2.98652e+08,70
9,8,3.05899e+08,3.05899e+08,30
15,16,3.16049e+08,3.16049e+08,30
11,26,3.45561e+08,3.45561e+08,90
34,4,3.58108e+08,3.58108e+08,290
33,4,3.58548e+08,3.58548e+08,310
54,15,3.7041e+08,3.7041e+08,60
56,11,3.80848e+08,3.80848e+08,130
18,34,3.84508e+08,3.84508e+08,520
19,56,4.03047e+08,4.03047e+08,740
43,9,4.11255e+08,4.11255e+08,100
22,56,4.33913e+08,4.33913e+08,660
69,22,4.47177e+08,4.47177e+08,2240
25,54,4.94643e+08,4.94643e+08,840
50,18,5.08534e+08,5.08534e+08,1730
13,43,5.62988e+08,5.62988e+08,1990
