Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53262e+07,2.53262e+07,10
5,1,3.87321e+07,3.87321e+07,10
6,1,4.8314e+07,4.8314e+07,10
28,6,1.49337e+08,1.49337e+08,10
14,28,1.64664e+08,1.64664e+08,60
26,5,2.07932e+08,2.07932e+08,10
8,6,2.36329e+08,2.36329e+08,80
4,14,2.98655e+08,2.98655e+08,70
9,8,3.05918e+08,3.05918e+08,30
15,16,3.1604e+08,3.1604e+08,30
11,26,3.45504e+08,3.45504e+08,90
34,4,3.58099e+08,3.58099e+08,290
33,4,3.58539e+08,3.58539e+08,310
54,15,3.70401e+08,3.70401e+08,60
56,11,3.8079e+08,3.8079e+08,130
18,34,3.84486e+08,3.84486e+08,520
19,56,4.03038e+08,4.03038e+08,740
43,9,4.11275e+08,4.11275e+08,100
22,56,4.33904e+08,4.33904e+08,660
69,22,4.47168e+08,4.47168e+08,2240
25,54,4.94634e+08,4.94634e+08,840
50,18,5.08537e+08,5.08537e+08,1730
13,43,5.63018e+08,5.63018e+08,1990
