Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53702e+07,2.53702e+07,10
5,1,3.87441e+07,3.87441e+07,10
6,1,4.82895e+07,4.82895e+07,10
28,6,1.49313e+08,1.49313e+08,10
14,28,1.64654e+08,1.64654e+08,60
26,5,2.07944e+08,2.07944e+08,10
8,6,2.36305e+08,2.36305e+08,80
4,14,2.98649e+08,2.98649e+08,70
9,8,3.05895e+08,3.05895e+08,30
15,16,3.16314e+08,3.16314e+08,30
11,26,3.45536e+08,3.45536e+08,90
34,4,3.58085e+08,3.58085e+08,290
33,4,3.5851e+08,3.5851e+08,310
54,15,3.70675e+08,3.70675e+08,60
56,11,3.80822e+08,3.80822e+08,130
18,34,3.84525e+08,3.84525e+08,520
19,56,4.0305e+08,4.0305e+08,740
43,9,4.1125e+08,4.1125e+08,100
22,56,4.33916e+08,4.33916e+08,660
69,22,4.4718e+08,4.4718e+08,2240
25,54,4.94651e+08,4.94651e+08,840
50,18,5.08541e+08,5.08541e+08,1730
13,43,5.63024e+08,5.63024e+08,1990
