Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53165e+07,2.53165e+07,10
5,1,3.87289e+07,3.87289e+07,10
6,1,4.82743e+07,4.82743e+07,10
28,6,1.49297e+08,1.49297e+08,10
14,28,1.64623e+08,1.64623e+08,60
26,5,2.07929e+08,2.07929e+08,10
8,6,2.36289e+08,2.36289e+08,80
4,14,2.98633e+08,2.98633e+08,70
9,8,3.0588e+08,3.0588e+08,30
15,16,3.16029e+08,3.16029e+08,30
11,26,3.45546e+08,3.45546e+08,90
34,4,3.58052e+08,3.58052e+08,290
33,4,3.58492e+08,3.58492e+08,310
54,15,3.7039e+08,3.7039e+08,60
56,11,3.80833e+08,3.80833e+08,130
18,34,3.84501e+08,3.84501e+08,520
19,56,4.03029e+08,4.03029e+08,740
43,9,4.11234e+08,4.11234e+08,100
22,56,4.33895e+08,4.33895e+08,660
69,22,4.47147e+08,4.47147e+08,2240
25,54,4.94604e+08,4.94604e+08,840
50,18,5.08502e+08,5.08502e+08,1730
13,43,5.62992e+08,5.62992e+08,1990
